timestamp,label,p,src_ip,dst_ip,protocol,ttl,total_len,t_delta
2025-12-03 04:45:54,NORMAL,0.005976,13.107.5.93,134.88.135.190,TCP,113,1500,0.000000
2025-12-03 04:45:54,NORMAL,0.000822,13.107.5.93,134.88.135.190,TCP,113,1298,0.000000
2025-12-03 04:45:54,NORMAL,0.000096,134.88.135.190,13.107.5.93,TCP,128,0,0.006514
2025-12-03 04:45:54,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,1476,0.001527
2025-12-03 04:45:54,NORMAL,0.000024,140.82.112.22,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000006,140.82.112.22,134.88.135.190,TCP,52,1264,0.000000
2025-12-03 04:45:54,NORMAL,0.000001,140.82.112.22,134.88.135.190,TCP,52,1476,0.004698
2025-12-03 04:45:54,NORMAL,0.000030,140.82.112.22,134.88.135.190,TCP,52,186,0.000000
2025-12-03 04:45:54,NORMAL,0.000008,134.88.135.190,140.82.114.5,TCP,128,0,0.000780
2025-12-03 04:45:54,NORMAL,0.001331,134.88.135.190,140.82.112.22,TCP,128,0,0.000307
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,499,0.000707
2025-12-03 04:45:54,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,119,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,140.82.112.22,134.88.135.190,TCP,52,119,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,1476,0.001091
2025-12-03 04:45:54,NORMAL,0.000000,140.82.114.5,134.88.135.190,TCP,52,1476,0.000000
2025-12-03 04:45:54,NORMAL,0.000119,140.82.114.5,134.88.135.190,TCP,52,658,0.000000
2025-12-03 04:45:54,NORMAL,0.001344,13.107.5.93,134.88.135.190,TCP,113,1499,0.000000
2025-12-03 04:45:54,NORMAL,0.000001,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
2025-12-03 04:45:54,NORMAL,0.000000,13.107.5.93,134.88.135.190,TCP,113,1086,0.000000
